web-scraper-order,web-scraper-start-url,house-link,house-link-href,house-price,house-addr,house-availability,house-size,house-rooms,house-desc,house-baths
1587215395-478,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=12,,,,,Abril 2021,,,,
1587215293-153,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=20,,,,,,,,,3 Baños
1587215419-802,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=10,,,,,,,2 a 3 dormitorios,,
1587215456-1179,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=7,,,,"Av. Petit Thouars 3980, 
								 San Isidro, Lima",,,,,
1587215051-52,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=40,,,,,,,,,3 Baños
1587215492-1601,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,"S/ 407,900",,,,,,
1587215395-450,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=12,,,,"AV. PARQUE SUR 240, 
								 Corpac, San Isidro",,,,,
1587215431-925,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=9,,,,,,"110 a 168 
							
							m² techados",,,
1587215382-349,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=13,,,,,,"64 a 134 
							
							m² techados",,,
1587215529-2049,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=1,,,,,Septiembre 2021,,,,
1587215395-435,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=12,,,"S/ 298,600",,,,,,
1587215492-1633,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,,,Septiembre 2020,,,,
1587215407-678,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=11,,,,,,,,"Brasil 14 es un edificio que te ofrece mucho más que un departamento en una ubicación privilegiada para conectarte y movilizarte en pocos minutos a donde quieras ir con las mayores comodidades para ti y tu familia. El edificio está compuesto de 4 sótanos; 20 pisos y azotea y 87 departamentos. Brasil 14 está diseñado con espacios optimizados y diseñados al detalle para mayor comodidad, versátiles y variadas áreas sociales que serán el complemento perfecto para una vida mejor. En la azotea se encuentran ubicadas las zonas comunes del edificio las cuales consisten en una Sala de Entretenimiento para Adultos, Zonas de parrillas, Terrazas en Azotea y en el primer piso se encontrará el Área de Juegos para Niños, Sala de Usos Múltiples con Terraza, Coworking con Terraza, y Gimnasio equipado. El edificio contempla departamentos tipo flat y dúplex. El Proyecto brasil 14 se encuentra a un paso del corazón de la Plaza San José cerca de parques, centros de entretenimiento, servicios, supermercados. Una ubicación estratégica que te permite estar conectado con tu trabajo, centro de estudios, o lo que necesites para crecer con bienestar y seguridad.",
1587215492-1606,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,,"jiron Buenaventura Aguirre N° 290, 
								 La Vi´┐¢ita, Barranco",,,,,
1587215492-1589,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,"S/ 348,449",,,,,,
1587215480-1548,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=5,,,,,,,,"¡En construcción! Paseo Parque Graña es un proyecto que consta de 10 pisos y 39 departamentos en los que se aprovecha al máximo el espacio y la vista inigualable del parque Francisco Graña, creando una composición con acabados de madera, granito y porcelanatos que hacen de este un proyecto moderno y único.",
1587215492-1590,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,"S/ 744,770",,,,,,
1587215407-667,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=11,,,,,,,2 a 3 dormitorios,,
1587215443-1047,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=8,,,,,Enero 2022,,,,
1587215443-987,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=8,Malecón Ferré,https://urbania.pe/inmueble/proyecto-malecon-ferre-lima-miraflores-aurora-grupo-inmobiliario-empresa-58050863,,,,,,,
1587215492-1667,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=4,,,,,,,1 a 3 dormitorios,,
1587215468-1403,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=6,,,,,,,,"Edificio con una excelente ubicación en Miraflores, ubicado cerca del cruce de la Av. 28 de Julio con Paseo de la Republica. Tiene 34 modernos departamentos entre flats, dúplex y tríplex, desde 90 m² hasta 236 m², distribuidos de forma funcional en 17 pisos. Cuenta con áreas comunes increíbles para toda la familia como el Lounge Sky, Sky bbq, Sky Bar, Coworking y Patio Zen. Asimismo, destaca su conectividad y su cercanía a parques y áreas verdes de la zona.",
1587215480-1536,https://urbania.pe/buscar/venta-de-departamentos-en-lima?page=5,,,,,,,1 a 3 dormitorios,,
